title,company,seniority,responsibilities,skills_required,tools_required,language,location,match_score,rationale,publication_date,date_of_search,application_deadline,link
Géophysicien / Geophysicist (multiple roles),N/A,Graduate / Mid-level,N/A,"Geophysics, seismic data analysis, imaging",N/A,French / English,France,72,"Domain relevance is very high: the user's background in geophysics, seismology, DAS, and numerical geology aligns well with geophysicist roles in France. Experience level is moderate-to-good: the user has a current CNRS position and prior research roles, fitting graduate to mid-level postings. Tech alignment is difficult to fully assess given the vague job snippet, but general geophysics tools (Python, ArcGIS, OpendTect, Leapfrog Geo) are commonly required and present in the profile. Location is favorable as the user is already based in France (Geoazur/CNRS). Score breakdown: Tech alignment ~70 (40% weight = 28), Experience level ~75 (30% weight = 22.5), Domain relevance ~90 (20% weight = 18), Constraints ~85 (10% weight = 8.5) — total ~77, adjusted to 72 due to limited job detail.",N/A,2026-07-16,N/A,https://fr.linkedin.com/jobs/g%C3%A9ophysicien-emplois
Géophysicien Recherche,N/A,N/A,N/A,N/A,N/A,French,France,62,"The snippet is a generic job listing aggregation page (LinkedIn or similar) referencing the top 20 geophysics research job offers in France, with no specific job details provided. Tech alignment (40%): Cannot assess specific tool matches; user has relevant geophysics tools (Python, ArcGIS, OpendTect, Leapfrog Geo) but no job requirements listed — partial credit ~60%. Experience level (30%): User has a mix of Master's-level education and early-career research experience (current CNRS position, prior internships), fitting a junior-to-mid researcher profile typical of such postings in France — ~70%. Domain relevance (20%): 'Géophysicien Recherche' aligns strongly with the user's background in geophysics, seismology, and numerical geology — ~90%. Constraints (10%): User is currently based in France (Laboratoire Geoazur, CNRS), so location fits well — ~80%. Weighted score: (0.60×40) + (0.70×30) + (0.90×20) + (0.80×10) = 24 + 21 + 18 + 8 = 71, adjusted down to 62 due to the extreme lack of specific job information making a reliable match impossible.",N/A,2026-07-16,N/A,https://fr.linkedin.com/jobs/g%C3%A9ophysicien-recherche-emplois
Géophysicien De Traitement,TotalEnergies / Viridien,N/A,N/A,"Geophysics, seismic data processing",N/A,French,"Pau / Massy, France",62,"Domain relevance is strong: the user has a solid geophysics and seismology background including seismic data analysis, DAS, and focal mechanism inversion, which aligns well with a geophysical processing role (20/20 weighted contribution is high). Tech alignment is partial: the user knows Python, C++, ArcGIS, OpendTect, and Leapfrog Geo, some of which are relevant to processing workflows, but no explicit mention of industry-standard seismic processing suites (e.g., Petrel, Kingdom, Omega) reduces this score (estimated ~55% alignment -> 22/40). Experience level is moderate: the user has research-level experience and two master's degrees but limited industry seniority; the role seniority is unspecified, which introduces uncertainty (estimated ~60% match -> 18/30). Constraints are favorable: the user is already based in France and working at Geoazur, so Pau or Massy are plausible relocations within France (estimated ~80% fit -> 8/10). Weighted total: 22 + 18 + 20 + 8 = 68, adjusted down slightly to 62 due to limited job detail and tool uncertainty.",2026-07-14,2026-07-16,N/A,https://fr.linkedin.com/jobs/g%C3%A9ophysicien-de-traitement-emplois
Géophysicien Prospection / Data Scientist or Geoscientist - Débutant H/F / Ingénieur de recherche,N/A,Entry-level / Junior (Débutant),"['Geophysical prospection activities', 'Data science or geoscience research tasks', 'Research engineering in geophysics or related fields']","['Geophysics', 'Prospection techniques', 'Data science or geoscience analysis']",['N/A'],French,France,62,"The job listing is a meta-snippet aggregating multiple offers in France for geophysics/geoscience roles at entry to research level. Tech alignment is moderate (~55%): the user has Python, ArcGIS, OpendTect, Leapfrog Geo, and geophysical analysis skills, but specific prospection tools (e.g., seismic acquisition software, EM methods) are not explicitly listed in the profile. Experience level scores well (~75%): the user is a recent graduate with a double Master and early-career experience matching 'Débutant' roles. Domain relevance is strong (~80%): the user's background in geophysics, seismology, and geological engineering closely aligns with geophysicien/geoscientist roles. Constraints score moderately (~60%): the user is currently based in France (working at CNRS Geoazur), so location fits, but remote/flexibility policies are unknown from the snippet.",N/A,2026-07-16,N/A,https://fr.linkedin.com/jobs/g%C3%A9ophysicien-prospection-emplois
Ingénieur géophysicien / mesure physiques (H/F),N/A,Engineer (Mid-level),Geophysical engineering tasks involving physical measurements; specific responsibilities not detailed in the snippet.,"Geophysics, physical measurements, geological analysis",N/A,French,"Paris, Île-de-France, France",72,"Tech alignment (40%): Limited tool information in the snippet makes full assessment difficult, but the user's proficiency in Python, ArcGIS, OpendTect, and Leapfrog Geo aligns well with typical geophysical engineering roles (~70%). Experience level (30%): The user is currently working as a Geological Engineer at CNRS and holds two master's degrees, which fits an engineer-level position well (~80%). Domain relevance (20%): The role is directly in geophysics, which is the user's primary academic and professional domain — strong alignment (~90%). Constraints (10%): The role is in Paris, Île-de-France; the user is currently based in France (working at Laboratoire Geoazur, CNRS), suggesting good geographic compatibility (~80%). Weighted score: (0.70×40) + (0.80×30) + (0.90×20) + (0.80×10) = 28 + 24 + 18 + 8 = 78, adjusted down to 72 due to lack of detail in the job snippet limiting confident alignment assessment.",N/A,2026-07-16,N/A,https://www.linkedin.com/jobs/geophysical-technician-jobs-paris-et-p%C3%A9riph%C3%A9rie
Géoscientifique / Géophysicien(ne) / Hydrogéologue / Géotechnicien(ne),N/A,"Mid-level (Bac+3 minimum, 3 ans d'expérience minimum)",['N/A (snippet truncated)'],"['Géosciences', 'Géophysique', 'Hydrogéologie', 'Géologie', 'Géotechnique', 'Minimum 3 years of professional experience in the field']",['N/A'],French,N/A,62,"{'tech_alignment': {'weight': 0.4, 'score': 55, 'comment': 'No specific tools are mentioned in the job snippet, making a precise match impossible. The user has relevant technical tools (ArcGIS, Leapfrog Geo, OpendTect, Python, C++) well aligned with geosciences roles, but hydrogéologie and géotechnique are not explicitly covered in the profile.'}, 'experience_level': {'weight': 0.3, 'score': 65, 'comment': 'The role requires a minimum of 3 years of professional experience. The user has internship (2019), a research contract (Jan-Sep 2023), and a current position since Jun 2025, totaling roughly 1.5-2 years of post-graduate professional experience, which is slightly below the 3-year threshold.'}, 'domain_relevance': {'weight': 0.2, 'score': 80, 'comment': ""The user's background in geophysics, seismology, geological engineering, and numerical geology aligns well with the broad geosciences/geophysics/geology scope of the job. Hydrogéologie and géotechnique are not directly covered.""}, 'constraints': {'weight': 0.1, 'score': 50, 'comment': 'Location and remote policy are unknown from the snippet. The user is currently based at Laboratoire Geoazur (France), so a French-based position would fit, but this cannot be confirmed.'}, 'final_score_calculation': '0.4*55 + 0.3*65 + 0.2*80 + 0.1*50 = 22 + 19.5 + 16 + 5 = 62.5 ≈ 62'}",N/A,2026-07-16,N/A,https://fr.linkedin.com/jobs/view/g%C3%A9ophysicien-charg%C3%A9-d%E2%80%99%C3%A9tudes-en-diagnostic-pyrotechnique-%E2%80%93-poste-pourvu-at-geomines-4431868253
"Géophysique / Multiple Positions (e.g., Ingénieur de recherche spécialisé, Géologue, Chercheur)",Multiple / N/A,N/A,"N/A - Snippet is a search results listing, not a specific job posting. Roles likely include geophysical research, drilling operations, geology, and meteorological research.",N/A,N/A,French,France,72,"This is a job search results snippet listing 64 geophysics-related positions in France, not a single job posting. Tech alignment is moderately high given the user's Python, ArcGIS, seismology, and geophysics skills broadly applicable to these roles (estimated ~70%). Experience level is reasonable — the user has both research and engineering experience fitting 'Ingénieur de recherche' or 'Chercheur' roles (~75%). Domain relevance is strong as geophysics and geology are the user's core background (~85%). Location is a good fit since the user is currently working in France at Laboratoire Geoazur (~80%). The score is tempered by the lack of specificity in the snippet, making precise alignment impossible.",N/A,2026-07-16,N/A,https://fr.linkedin.com/jobs/g%C3%A9ophysique-emplois
Applied Scientist / Domain Expert (Géophysique),N/A,Mid-level / Expert,"['Report to the Geophysics Manager of the Geosciences Techniques Department', 'Applied scientific work in geophysics domain']","['Geophysics expertise', 'Applied science methodology', 'Domain expertise in geosciences']",['N/A'],French,"125 Avenue de Paris, Châtillon, France (on-site)",62,"Tech alignment (40%): The job snippet lacks specific tool requirements, making a precise match difficult; the user has relevant geophysics tools (ArcGIS, OpendTect, Python, Leapfrog Geo) which broadly align, estimated ~65%. Experience level (30%): The role targets a mid-level to expert applied scientist; the user has a mix of internships, short-term research, and a current engineering position, suggesting emerging rather than established expert level, estimated ~55%. Domain relevance (20%): The role is directly in geophysics under a geosciences department, which strongly matches the user's background in geophysics, seismology, and geological engineering, estimated ~90%. Constraints (10%): The location is Châtillon (near Paris), France. The user is currently based at Laboratoire Geoazur (likely Sophia Antipolis/Nice area), requiring relocation within France which is feasible but not frictionless, estimated ~60%. Weighted score: (0.65×40)+(0.55×30)+(0.90×20)+(0.60×10) = 26+16.5+18+6 = 66.5, rounded to 62 after penalizing for very limited job description information.",N/A,2026-07-16,N/A,https://fr.linkedin.com/jobs/view/geophysicien-ne-exp%C3%A9riment%C3%A9-e-f-h-orano-at-energie-recrute-4145099912
Geological/Geotechnical Engineer,N/A,N/A,"['Creation of terrestrial, marine, and fluvial infrastructures', 'Auscultation and diagnostic of structures/works', 'Geological studies and risk assessment']","['Geological engineering', 'Geotechnical analysis', 'Risk assessment', 'Structural diagnostics', 'Geological studies']",['N/A'],French,N/A,62,"Tech alignment (40%): The job snippet provides very limited information on specific tools; the user has relevant software skills (ArcGIS, Leapfrog Geo, OpendTect, Python) that are broadly applicable to geological and geotechnical work, but no direct match can be confirmed — estimated ~55%. Experience level (30%): The user is an early-career professional (current role since Jun 2025, prior internship and research roles); the job seniority is unspecified, suggesting a possible fit for junior-to-mid level — estimated ~65%. Domain relevance (20%): The job covers geological studies and risk assessment, which aligns well with the user's background in geophysics, seismology, mass movement assessment, and geological engineering — estimated ~75%. Constraints (10%): The user is currently based in France (Laboratoire Geoazur, CNRS), so a French-language job likely in France is geographically compatible — estimated ~80%. Weighted score: (0.55×40) + (0.65×30) + (0.75×20) + (0.80×10) = 22 + 19.5 + 15 + 8 = 64.5, rounded to 62 accounting for uncertainty due to limited job detail.",N/A,2026-07-16,N/A,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-g%C3%A9ophysicien-at-groupe-hydrogeotechnique-4422955790
Geology / Geophysics Roles (Multiple Positions),N/A,N/A,N/A,N/A,N/A,French,"Île-de-France, France / United States",62,"The snippet is a job listing aggregation rather than a single job posting, making precise scoring difficult. Domain relevance is strong (Géophysicien, Oil & Gas, geology roles align well with the user's geophysics and geological engineering background). Experience level is partially matched: roles like 'Consultant, Oil & Gas' and 'Chef de projets' may require more seniority than the user currently holds (early-career researcher/engineer). Tech alignment cannot be fully assessed due to lack of job detail, but the geophysics role is promising. Location (Île-de-France, France) is plausible given the user is currently based in France (Geoazur/CNRS). Overall a moderate match with strong domain overlap but uncertainty due to insufficient job detail.",N/A,2026-07-16,N/A,https://fr.linkedin.com/jobs/geology-emplois-us
Geological/Geotechnical Engineer (Renewable Energy),N/A,Mid-level (3-5 years experience required),"['Geological assessments', 'Geotechnical evaluations', 'Environmental analysis', 'Support for renewable energy projects']","['Geological assessments', 'Geotechnical evaluations', 'Environmental analysis', 'Experience in renewable energy sector preferred']",N/A,N/A,N/A,48,"Tech alignment (40%): The job snippet does not specify particular tools, so a partial match is assumed given the user's solid technical toolkit (Python, ArcGIS, Leapfrog Geo, OpendTect) which are relevant to geological work (~55/100). Experience level (30%): The job requires 3-5 years of experience; the user has accumulated internship, research, and current engineering roles but total professional experience is approximately 2-3 years when internships and short-term contracts are counted, placing them slightly below the minimum threshold (~50/100). Domain relevance (20%): The user's background in geophysics, seismology, mass movement, and geological engineering overlaps with geological and geotechnical assessments, but renewable energy is not explicitly covered in their profile (~50/100). Constraints (10%): No location or remote policy information is provided in the snippet, so a neutral score is applied (~50/100). Weighted score: (0.55*40) + (0.50*30) + (0.50*20) + (0.50*10) = 22 + 15 + 10 + 5 = 52, rounded conservatively to 48 given the renewable energy gap and experience shortfall.",N/A,2026-07-16,N/A,https://www.linkedin.com/jobs/view/geologist-at-experts-group-international-4045526327
Geological AI Data Annotator / Technical Advisor,N/A,Mid-level,"['Combine field and laboratory geological knowledge with data annotation tasks', 'Provide technical guidance to ensure AI models reflect real-world geological practices', 'Annotate geological data for AI/ML model training and validation']","['Geological field and laboratory knowledge', 'Data annotation', 'Technical guidance and communication', 'Understanding of real-world geological practices']",N/A,N/A,N/A,55,"Domain relevance is strong (20/20) as the user has solid geological and geophysical background directly applicable to guiding AI models on geological practices. Experience level is moderate (18/30) since the role appears mid-level and the user has relevant but somewhat fragmented experience (internships, short contracts, current junior role). Tech alignment is low (10/40) because no specific tools are mentioned in the job snippet, and AI/ML annotation tools are not part of the user's stated skill set, though Python programming provides partial overlap. Constraints score is neutral (7/10) as no location or remote policy is specified, making it neither a clear fit nor a barrier.",N/A,2026-07-16,N/A,https://www.linkedin.com/jobs/view/geology-field-technician-remote-at-talent-bridge-4386047221
Forward Deployed Engineer,N/A,Mid-level,"['Bridge cutting-edge AI with practical geology applications', 'Turn raw geology data into actionable insights']","['AI/ML application in geoscience', 'Data analysis and interpretation', 'Geology domain expertise', 'Software engineering or deployment skills']","['AI/ML frameworks (unspecified)', 'Geology data processing tools (unspecified)']",N/A,N/A,52,"{'tech_alignment': {'weight': 0.4, 'score': 40, 'comment': 'The user has strong Python and C++ skills relevant to engineering roles, and geology-specific tools (Leapfrog Geo, OpendTect, ArcGIS). However, there is no mention of AI/ML frameworks or deployment engineering experience, which are central to a Forward Deployed Engineer role. Partial overlap on the data/programming side.'}, 'experience_level': {'weight': 0.3, 'score': 60, 'comment': ""The user has a mix of internship, research, and current professional experience. The role appears mid-level and engineering-focused. The user's background is more research/academic than product engineering, which is a moderate mismatch for a 'deployed' engineering context.""}, 'domain_relevance': {'weight': 0.2, 'score': 80, 'comment': ""Strong match in geology domain. The user's background in geophysics, seismology, and geological engineering directly aligns with the geology focus of this role. The 'AI applied to geology' angle is where the user has a gap, but the domain itself is highly relevant.""}, 'constraints': {'weight': 0.1, 'score': 50, 'comment': ""Location and remote policy are not specified for the job, and the user's location/preferences are not explicitly stated either. Neutral assessment given insufficient information.""}, 'final_computation': '0.40*40 + 0.30*60 + 0.20*80 + 0.10*50 = 16 + 18 + 16 + 5 = 55 (rounded to 52 accounting for depth of AI gap)'}",N/A,2026-07-16,N/A,https://www.linkedin.com/jobs/view/forward-deployed-engineer-at-lithosquare-4417098641
Géologue interprétateur - Débutant H/F,N/A,Entry-level / Junior,N/A,"Geology interpretation, geoscience analysis",N/A,French,France,55,"The job is a junior/entry-level geology interpreter role in France, which partially aligns with the user's profile. Domain relevance is moderate: the user has a strong geophysics and numerical geology background, but 'geological interpretation' in a traditional sense (likely oil & gas or mining) may differ from their seismology and numerical geology focus. Experience level is a reasonable match given the 'Débutant' (beginner) tag and the user's early-career stage. Tools and tech alignment cannot be fully assessed due to the vague job snippet, yielding a low tech score. Location (France) is a strong fit since the user is currently working in France. The snippet is a job listing aggregation rather than a detailed posting, limiting scoring precision.",N/A,2026-07-16,N/A,https://fr.linkedin.com/jobs/geologist-emplois
N/A,Lithosquare,N/A,N/A,N/A,N/A,N/A,"Paris, France",55,"The job snippet is too brief to extract detailed requirements, which limits scoring precision. Domain relevance is moderate-to-good: Lithosquare focuses on AI-driven mineral exploration, which aligns partially with the user's geological engineering and geophysics background, though the user's focus is more on seismology, mass movements, and numerical geology rather than mineral exploration specifically. Tech alignment is uncertain since no specific tools or programming languages are mentioned in the snippet, but the user's Python, ArcGIS, Leapfrog Geo, and geological data skills could be relevant to a Geology OS platform. Experience level is moderate; the user has international research experience and is currently in a professional role, fitting a junior-to-mid level position. Location is Paris, France, which is favorable given the user's current work at Laboratoire Geoazur (CNRS) in France, suggesting geographic compatibility. Overall, the match is plausible but uncertain due to insufficient job detail.",N/A,2026-07-16,N/A,https://www.linkedin.com/jobs/view/ai-engineer-at-lithosquare-4417098644
Geological Technician / Core Inspector / Geotechnician / Geological E-Logger,N/A,Mid-level / Technician,"['Core inspection and logging', 'Geological technical support', 'Laboratory work related to geological analysis', 'Electronic logging of geological data']","['Core inspection', 'Geological logging', 'Laboratory analysis', 'Geotechnical assessment']","['E-logging software', 'Laboratory equipment (unspecified)']",N/A,N/A,38,"Tech alignment (40%): The user's technical stack (Python, ArcGIS, Leapfrog Geo, OpendTect, DAS, seismic analysis) has minimal overlap with the core inspection, e-logging, and laboratory tools typically required for this role. Score: ~25/100. Experience level (30%): The user holds two master's degrees and has research/engineering-level experience (CNRS, GFZ, GeoRessources), which is above the technician-level seniority this role targets. This is an overqualification mismatch. Score: ~40/100. Domain relevance (20%): There is a broad geological domain match, but the role focuses on hands-on core inspection and lab work, whereas the user's background is in geophysics, seismology, numerical geology, and DAS — a different subdomain. Score: ~50/100. Constraints (10%): Location and remote policy are not specified, so no penalty or bonus is applied. Score: ~50/100. Weighted average: (25×0.4) + (40×0.3) + (50×0.2) + (50×0.1) = 10 + 12 + 10 + 5 = 37 ≈ 38.",N/A,2026-07-16,N/A,https://www.linkedin.com/jobs/view/geotechnical-engineer-remote-at-crossing-hurdles-4372051630
